bank,date,novelty,n_added,dict_dh,dict_redline,rob_dh,rob_redline,rob_disp,r2,r5,r10,r30,src,alpha_r2,alpha_r5,alpha_r10,alpha_r30
ECB,2016-09-08,0.6666666666666667,32,-0.02724631519274376,-0.040088383838383854,-0.026106878617044957,-0.03708130971882163,0.6668324892177273,4.0000000000000036,6.999999999999984,7.000000000000006,8.999999999999986,daily,-0.4346451632296291,-0.533065697698516,-0.1744309730817284,0.14992557846104526
FOMC,2016-09-21,0.3846153846153846,10,0.05698005698005698,0.15,-0.005230736734412801,0.0330706684626586,0.6049034892631823,-3.6599999999999904,-4.25999999999999,-3.46999999999999,-3.10000000000001,usmpd,-0.1622168352192518,-0.21927126102001893,0.03814479556938119,0.2532052829387896
ECB,2016-10-20,0.5909090909090908,26,0.003630050505050497,0.006410256410256415,0.06443521266965035,0.12197771598262196,0.7442779252353796,2.9999999999999916,2.0000000000000018,0.0,-0.9999999999999787,daily,0.5127284236914196,0.5118087288456468,0.47413448049271795,0.296064151063132
FOMC,2016-11-02,0.37037037037037035,10,-0.05080721747388413,-0.15555555555555553,0.020593207615149982,0.021326438278790882,0.5871988959975426,0.4,0.15999999999998,0.35000000000000003,0.5499999999999999,usmpd,0.07924762043352902,0.03863232243530049,0.181868520678583,0.24809773957529244
ECB,2016-12-08,0.84,42,-0.04189393939393937,-0.0492724867724868,-0.022014539346637323,-0.03641620856927018,0.749277923552191,2.0000000000000018,3.0000000000000027,6.000000000000005,8.000000000000007,daily,-0.3769866028672141,-0.45764160637351303,-0.13936674292453805,0.16143236904755062
FOMC,2016-12-14,0.33333333333333337,8,-0.0015432098765432185,0.011363636363636364,-0.04699379780538072,-0.056061339330963994,0.5838659870978389,6.07999999999999,8.17999999999998,6.04,2.66999999999999,usmpd,-0.6745412351368173,-0.7838219349290683,-0.3112355707880637,0.17756557220707025
ECB,2017-01-19,0.7872340425531915,37,0.08716312056737585,0.10889639639639641,0.09435804954484758,0.1272016651744658,0.7352064281085874,2.0000000000000018,4.0000000000000036,5.000000000000027,4.0000000000000036,daily,0.8316656051495741,0.8186477482050989,0.6119042455124182,0.2615296193896042
FOMC,2017-02-01,0.48,12,-0.039444444444444435,-0.08459595959595959,-0.014984022951175568,-0.0569089155871938,0.5557748626319367,-2.39,-2.30999999999999,-0.74,0.5800000000000199,usmpd,-0.27242220503623216,-0.3412997958718343,-0.04474293950373826,0.22028342595352843
ECB,2017-03-09,0.7954545454545454,35,0.008518697614442308,0.011478696741854658,-0.005616315765664043,0.00020162987010072242,0.7571328365077785,1.0000000000000009,4.999999999999982,3.000000000000025,4.0000000000000036,daily,-0.19828125281277245,-0.28725545246894435,-0.008884634828974197,0.20408134331639602
FOMC,2017-03-15,0.5,12,0.02555555555555555,0.047008547008547015,0.12104002400733103,0.251221259306476,0.5497486902479111,-6.09999999999999,-7.21000000000002,-4.36,-1.40000000000002,usmpd,1.2377330294115878,1.2868380431697195,0.9228997895739902,0.3552641891038929
ECB,2017-04-27,0.7297297297297297,27,-0.04577190827190826,-0.06419753086419754,-0.10603929624743462,-0.11559600603691064,0.777263572129721,-3.0000000000000027,-3.0000000000000027,-2.0000000000000018,-1.000000000000023,daily,-1.2057542347249102,-1.3415765140677456,-0.625848277659988,0.16885884583908534
FOMC,2017-05-03,0.3846153846153846,10,0.022008547008547007,0.05583333333333331,0.010253823093173709,-0.046995977741244144,0.5543078454173169,1.7999999999999998,2.29999999999999,1.79999999999997,1.25999999999999,usmpd,-0.03823805661008052,-0.09155329133108317,0.10381759971117714,0.23522570954736305
ECB,2017-06-08,0.8,36,0.032682682682682665,0.04080687830687829,0.033716034041779704,0.03266751366226388,0.7517372376284622,1.0000000000000009,1.0000000000000009,0.9999999999999787,1.000000000000023,daily,0.21161071022192585,0.17887284140812784,0.2633654500277015,0.25478181038668124
FOMC,2017-06-14,0.52,13,-0.004230769230769234,-0.008516483516483516,0.08501532355901033,0.17044353493758618,0.5125446360467184,2.83999999999999,2.30999999999999,0.9550000000000299,0.07999999999999,usmpd,0.7254845638985312,0.7362620993138062,0.600344799137646,0.3023809373646438
